French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: I'm not sure I understand what you mean. = French: Je ne suis pas sûr de comprendre ce que vous dites.	Je suis ornithologue amateur.	Je suis un ornithologue passionné.
French: J'ai un teint assez pâle naturellement, c'est tout. = English: I just have a naturally pale complexion, that's all.	J'ai tendance à rester à l'écart.	je suis plutôt solitaire
English: and Trump = French: Et Trump.	Je suis heureux de vous avoir trouvée.	Je suis content de vous avoir trouvé.
French: Vous avez appris où à cuisiner? = English: Where did you learn to cook?	Tu te souviens de Julian ?	Vous vous rappelez Julian?
English: a mustache?! = French: Des moustaches ?	Il y a des panneaux qui demandant de ne pas leur donner de pain.	Il y a des pancartes qui disent de ne pas leur donner de pain.
English: Have we got a milk-free sauce? = French: Est-ce qu'on a une sauce sans lait ?	Les rossignols sont relativement rares.	Les rossignols sont assez rares.
English: It's happy hour right now! = French: C'est l'happy hour en ce moment !	En tout cas quand il était sur cette île, dans Seul au monde, il a dû manger de la viande !	Ben quand il était sur cette île dans Seul au monde il a dû manger de la viande !
French: Tu sors de temps en temps te promener ? = English: Do you get to go out for a walk every now and then?	Très bien, merci, et vous ?	Très bien merci, et vous?
English: Maybe we could try and stroke them? = French: Peut-être que nous pourrions essayer et aussi les caresser ?	Donc on est deux.	ça fait deux de nous
English: I haven't heard about the plans for the Amicale?! = French: Je n'ai jamais entendu parler de plans pour l'Amicale ?!	Mon sac est vraiment lourd.	Mon sac est vraiment lourd.
English: No! = French: Non !	J'ai environ 10 sortes de gin et on pourrait faire une carte des cocktails.	J'ai environ 10 gins différents et nous pourrions faire un menu cocktail
French: C'est vrai. = English: That's true.	Plein de gâteaux !	Beaucoup de ça!
English: Who am I going to ask? = French: Je poserai ces questions à qui ?	Tu crois que ça pourrait arriver ?	Pensez-vous que cela va se produire ?
English: What are cards? = French: Qu'est-ce que des cartes ?	Tu devrais faire la même chose.	Vous devriez faire la même chose.
English: A wooden one I suppose... = French: Un instrument en bois, je suppose.	Certainement, Monsieur.	Certainement, monsieur.
English: I'm never going to pass, so I might as well give up now. = French: Je ne vais jamais l'avoir, donc je peux abandonner dès maintenant.	Oui s'il vous plaît.	Oui s'il vous plaît.
French: En plus, je suis sûr qu'il y a des personnes qui méritent plus que moi de ne pas mourir. = English: And I'm sure that there are people who deserve not to die more than me.	Merci de m'avoir aidé à me calmer.	merci de m'aider à me calmer
French: Oui, je sais que je dois renégocier ce contrat depuis longtemps. = English: Yes, I know I've had to renegotiate the contract for a while.	Merci pour vos suggestions aujourd'hui, au revoir.	Merci pour vos suggestions aujourd'hui, au revoir
French: Bonjour, je vous sers quelque chose ? = English: Hello, can I get you something?	Est-ce que tu as en parlé à quelqu'un ?	Vous avez contacté quelqu'un à ce sujet?
French: Je sais, je sais, et toi tu ne tiens pas en place, tu es incapable de prendre du temps pour réflechir tranquillement = English: I know, I know, and you can't stay still. You're incapable of taking any quiet time to just think.	J'espère juste qu'ils ne feront pas trop de chahut.	je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne sais pas, je ne
French: Euh, d'accord, si vous voulez! = English: Erm, ok, if you want!	Je ne m'attendais pas à ça.	Je ne m'attendais pas à ça.
French: Comment comptes-tu t'en sortir ? = English: How are you planning on getting out of here?	Et mon fils Julian m'aide toujours autant qu'il peut.	Et mon fils Julian aide autant qu'il peut
French: Le point de vue peut être historique ou sociologique. = English: The viewpoint can be historical or sociological.	Ça pourrait être intéressant.	Ça pourrait être intéressant.
French: Je ne suis même pas sûr de savoir vraiment ce que mangent les canards dans la nature. = English: I don't even think I really know what ducks eat in the wild.	Je ne peux pas lire lorsque les pages sont mouillées.	Je ne peux pas lire quand les pages sont mouillées.
French: Arrête de dire des sôtises, ils ne feraient jamais ça. = English: Stop saying silly things. They'd never do that.	Est-ce vous pouvez faire votre enquête auprès du service de maintenance tout de suite ?	Vous pouvez faire vos recherches sur l'entretien des ascenseurs tout de suite?
English: Haha! = French: Haha !	Tu veux en discuter ?	Voulez-vous en parler?
English: I usually only eat croissant on special occasions. = French: Normalement je ne mange des croissants que pour les grandes occasions.	Qu'est-ce que tu en penses ?	Qu'est-ce que tu en penses?
French: prends des ingrédients bon marché, ce n'est que mom anniversaire, pas la réception d'un amabssadeur = English: Bring cheap ingredients. It's only my birthday, not an ambssador's reception.	Pas la moindre idée.	Aucune idée du tout.
English: ? = French: ?	Êtes-vous déjà venu ici ?	Avez-vous déj? visité ce site?
French: Ils sont dans la marine marchande ou il y a aussi quelques pirates? = English: Are they in the merchant navy or are there also some pirates?	Il est arrêté entre deux étages.	Il est arrêté entre les étages.
French: Justement, le conseillé est de mêche ! = English: That's just it - the counsellor is in on it all!	Hey, jouons au volleyball !	Allez, on va jouer au volley-ball?
French: Elle permet de comprendre le présent et de préparer l'avenir en étudiant le passé. = English: Through it you can understand the present and prepare for the future by studying the past.	Donc vous y êtes allé vous aussi ?	Vous y êtes allé vous-même?
French: Des ballons, oui, pourquoi pas! = English: Balloons, yes, why not!	Je veux dire, j'ai quasiment pas dormi ces dernières semaines.	Je veux dire, je n'ai pas dormi depuis deux semaines...
English: What are you thinking I should be able to climb twenty floors because I m so fit? = French: Qu'est-ce que tu crois ? Que je devrais pouvoir monter vingt étages parce que je suis en pleine forme ?	Olivier m'a offert une tablette pour mon anniversaire.	Olivier m'a offert une tablette pour mon anniversaire.
French: Que vous ai-je donc fait ! = English: What have I ever done to you?	Je vous écoute.	je vous écoute
French: pas de problème pour les desserts = English: No problem for the desserts.	J'ai une réunion avec le président.	Je suis en train de rencontrer le président.
English: Let's try going back the way we came = French: Essayons de revenir par là où on est arrivés.	Mais j'ai entendu dire que le pain n'est pas très bon pour les canards.	Bien que j'entende que le pain n'est pas bon pour les canards.
French: Je vais faire un feu pour les éloigner ; en échange je mangerais bien au mois un des sandwiches au jambon. = English: I'm going to make a fire to scare them off. In exchange I wouldn't mind eating at least one of the ham sandwiches.	Ça va ça va.	Ça va
French: Je commence à m'ennuyer un peu, pas toi? = English: I'm starting to get bit bored. Aren't you?	Tu peux aller me chercher une bonne boisson fraîche avec des glaçons, s'il te plaît ?	Peux-tu me commander une boisson fraîche s'il te plaît?
English: I had to wing it at the meeting. = French: J'ai dû improviser pendant la réunion.	Parfait.	génial.
French: Vous aussi, à bientôt = English: You too, see you soon.	Ça ne me gêne pas de le faire.	Je ne suis pas contre.
English: The weather is so good, I hope it's not too bad! = French: Le temps est si beau, j'espère que ce n'est pas trop grave !	Et votre téléphone ?	Qu'est-ce que tu as fait de ton téléphone?
English: On the pressure? = French: À la pression ?	Ah ouf !	Merci bien.
English: I am a philosopher, and I need this bar tender job to help me pay my rent = French: Je suis philosophe, et j'ai besoin de ce travail de serveur pour m'aider à payer mon loyer.	Ça pourrait être un incendie !	Ça pourrait être un incendie!
French: Elle déplacent des objets dans les chambres. = English: They move objects around the rooms.	Est-ce que tu connais un bon sorcier ?	Connaissez-vous des sorciers compétents?
French: En plus, j'ai un gros rhume, alors, ce serait mieux de me couvrir. = English: And I've got a cold, so I should probably cover up.	Très bonne idée !	C'est une bonne idée!
French: Car là je sens que, dans votre esprit, les choses sont différentes de ce qu'elles devraient être pour que cela se passe sereinement. = English: Because I get the feeling that, in your mind, things are different from how they need to be for things to happen as they should.	Je veux construire des châteaux de sable, manger des glaces, faire une randonnée.	Je veux construire des châteaux de sable, manger des bonbons, faire une randonnée
French: Tu veux bien aller nous chercher des boissons? = English: Are you up for fetching us some drinks?	Je suis désolée.	Je suis désolé.
French: Je ne sais pas dans quelle mesure c'est de votre faute, mais si on reste coincés longtemps dans cet ascenseur, vous pourrez y travailler ici. = English: I don't know how much it's your fault, but if we're stuck in this lift a long time, you could work in here.	Comme ça ?	Comme ça?
French: J'ai besoin de stimulation intellectuelle, émotionnelle, pas de vivre à côté d'un geek attardé et boutonneux qui ne penses que à ses jeux vidéos et à ses mangas. = English: I need intellectual and emotional stimulation, not living next to a retarded, pimply geek who only thinks of his video games and mangas.	Vous fabriquez et concevez des ascenseurs mais celui-ci tombe en panne chaque jour.	Vous concevez et fabriquez des ascenseurs mais celui-ci tombe en panne tous les jours.
English: Which chocolate company do you work for? = French: Vous travaillez pour quel industriel du chocolat ?	Aïe.	Oh là là !
French: Absolument. = English: Absolutely.	On dirait que tu connais la nature mieux que moi.	Vous semblez mieux connaître la nature que moi.
French: j'ai trouvé un saumon et des joues de boeuf. = English: I found a salmon and some beef cheeks.	C'est quoi le problème avec le fait que je lise ?	Qu'est-ce qui ne va pas avec moi en lisant?
English: I have my case loaded with all the things she likes to eat and some toiletries she likes too. = French: Ma valise est remplie de tout ce qu'elle aime manger et aussi de cosmétiques qu'elle aime.	Vous pourriez peut-être mettre une feuille de chou sur votre tête.	Peut-être pourriez-vous mettre une feuille de chou sur votre tête?
English: I know you looked at my cards when I was away. = French: Je sais que tu as regardé mes cartes pendant que j'étais partie.	Non.	Non.
French: Par contre il reste du chocolat, tu en veux? = English: But there is some chocolate left. Do you want some?	Le proviseur en est membre aussi !	Le principal est aussi un membre!
French: Tout va si vite! = English: Everything happens so fast!	Merci d'avoir clarifié le moment où vous voyez double.	Merci de me faire savoir quand vous voyez double.
French: Soulagé? = English: Relieved?	Je ne suis pas inquiète à l'idée de vous parler.	Je ne suis pas inquiet de parler avec vous.
English: Maybe. = French: Peut-être.	Oui, c'est peut-être une partie du problème, elles sont très moches.	Oui, ça pourrait être une partie du problème, ils sont très laids.
French: Bonsoir ! = English: Good evening!	Pas vraiment, mais c'est comme si elle me surveillait.	Pas vraiment, mais c'est comme si elle me regardait.
English: We will have an exam, if that is what you mean, next week on Thursday = French: Nous allons faire un contrôle, si c'est ce que tu voulais dire, le jeudi de la semaine prochaine.	Mes draps sont couverts de glace. C'est affreux - surtout quand le chat s'en recouvre aussi !	Mes draps sont recouverts de glace au chocolat. C'est affreux - surtout quand le chat est recouvert de glace au chocolat aussi!
English: I was going to suggest that you retired immediately. = French: Je pensais vous suggérer de prendre votre retraite maintenant.	Ça te dérange ?	Est-ce que je vous dérange?
English: And we'd still get to go around town together! = French: Ça ne nous empêcherait pas de faire le tour de la ville ensemble !	Est-ce que c'est possible d'avoir un délai supplémentaire ?	Est-ce que c'est possible de prolonger?
English: Well when he was on that island in Castaway he must have eaten meat! = French: En tout cas quand il était sur cette île, dans Seul au monde, il a dû manger de la viande !	Je suis plutôt heureuse ici et l'équipe est gentille mais parfois je n'aime pas la nourriture.	Je suis très heureux ici et le personnel est gentil mais Parfois je n'aime pas la nourriture.
French: C'est très bon avec un mojito par exemple. = English: They're very good with a mojito for example.	Pourquoi pas, tous les enfants sont partis donc ils ne vont plus nous gêner.	Pourquoi pas - les enfants sont partis maintenant donc ils ne nous dérangeront pas!
French: Oh non... J'avais oublié qu'il faudrait recommencer au retour... = English: Oh no... I'd forgotten that I'd need to do this all over again on the way back...	En même temps, ce n'était pas vraiment de ma faute...	Je veux dire ce n'était pas vraiment de ma faute...
English: How long has it been going on? = French: Depuis combien de temps cela dure-t-il ?	Mais la ville, c'est la ville.	Mais la ville est la ville.
English: I will see you later and you can tell me what you've found. = French: Je vous vois plus tard et vous me direz ce que vous aurez trouvé.	Ne t'inquiète pas, nous allons faire quelque chose à ce sujet.	Ne vous inquiétez pas, nous ferons quelque chose à ce sujet.
English: Then we could ask friends to bring salads and wine = French: Et on pourrait demander aux amis d'apporter des salades et du vin.	Mais c'était sympathique de te voir !	Mais c'est bien de vous voir!
French: Vous n'êtes pas responsable de la réparation de cet ascenseur! = English: You're not responsible for repairing the lift!	J'espère que ça va s'arranger rapidement.	Espérons que ça va passer bientôt
French: Un restaurant thaïlandais = English: A Thai restaurant.	Je pense que le point clé est qu'il est difficile de ne pas avoir le contrôle total.	Je pense que le plus important est que c'est difficile de ne pas être complètement en contrôle.
French: que voulez vous dire exactement par "bram", je ne suis pas certaine d'avoir bien compris. = English: What do you mean exactly by “bream”? I'm not sure I understood correctly.	Peut-être qu'un verre nous calmerait.	Peut-être un verre nous calmera-t-il.
French: On va faire comme tu as dit et tenter de revenir sur nos pas. = English: We'll do as you suggested and try to retrace our steps.	On pourrait peut-être aller boire un verre ensemble ?	Peut-être pourrions-nous prendre un verre ensemble?
French: Pendant ce temps, j'appelle l'école pour les prévenir que je vais être un peu en retard = English: In the meantime, I'll call the school to let them know I'm going to be a bit late.	Je préfère simplement rester allongé au soleil et lire un ou deux chapitres de mon livre.	Je préférerais beaucoup mieux me prélasser ici au soleil et peut-être lire un chapitre ou deux de mon livre.
English: You're the boss! = French: Vous êtes le patron !	Essayez un morceau de notre meilleur steak.	Goûtez un morceau de notre meilleur steak.
French: Voilà. = English: Right.	J'en ai quelques morceaux.	J'ai quelques tranches.
English: Barbecue or something more sophisticated? = French: Un barbecue ou quelque chose de plus sophistiqué ?	Si tu entends de la bonne musique alternative, tu pourrais aimer ça.	Si vous avez entendu de la bonne musique alternative, vous pourriez l'aimer
English: Do you think I could get them to autograph a napkin? = French: Tu crois que je pourrais lui demander un autographe sur une serviette ?	Je croyais que oui...	Je croyais que tu avais...
English: That is so funny. = French: C'est vraiment drôle.	Nous aurions intérêt à bouger vite.	Il vaut mieux que nous nous dépêchions.
English: What's your favourite dish? = French: Quel est votre plat préféré ?	Tu sais, la culture !	Vous savez - la culture!
English: Now that would be telling. = French: Ah ça, ça serait révélateur.	Il est magnifique.	Il est adorable.
French: Haha, effectivement ce serait une idée. = English: Haha, that's an idea!	Mes parents pensaient juste que j'avais piqué une crise.	Mes parents ont juste pensé que je m'étais mis en pétard
English: i wonder why hasn't it been properly fixed yet. = French: Je ne sais pas pourquoi ça n'a toujours pas été correctement réparé.	J'ai même un gin canadien jaune !	J'ai même un gin canadien jaune!
French: Oui c'est possible = English: Yes, it's possible.	Ils sont bons ?	Sont-ils bons?
French: Je ne le prends pas mal, mais je vois mal comment me retirer d'un ascenseur en panne. = English: I'm not offended, but I'm struggling to see how I can get out of a lift breakdown.	Non, tu avais dit que tu prenais la boussole.	Non, tu as dit que tu prenais la boussole
French: Un café allongé avec du sucre, merci. = English: Americano with sugar please.	Est-ce qu'ils seront ici toute la nuit ?	Ils vont rester ici toute la nuit?
English: No. = French: Non.	Bon, j'y vais.	Au revoir.
French: Bonne fin de journée, Docteur. = English: Enjoy the rest of your day, Doctor.	Tu as parfois le don de me provoquer.	Vous me poussez à bout parfois.
English: I'm glad you had a good day. = French: Je suis contente que tu aies eu une bonne journée.	Il faudrait qu'ils soient vraiment proches les uns des autres.	Ils auraient besoin d'être très proches...
English: How old were you when you started seeing red and green together? = French: Quel âge aviez-vous lorsque vous avez commencé à voir rouge et vert ensemble ?	Quelle bonne idée.	Quelle bonne idée !
English: typical hippy! = French: Typique d'un hippie !	J'ai tellement de choses à faire aujourd'hui, vous savez qu'on a des délais très serrés pour ce projet.	J'ai tellement de choses à faire aujourd'hui, tu sais qu'il y a des délais serrés pour ce projet
French: Cela faisait longtemps et comme je n'ai pas beaucoup de visites = English: It's been a long time and since I don't get many visitors...	On joue au badminton ou au tennis ?	On joue au badminton ou au tennis?
French: Honnêtement, je préfère rester avec ma mère au calme... tu sais très bien qu'elle ne peut pas autant marcher! = English: To be honest, I would rather stay and have some peace and quiet with my mother... you know that she can't walk that much.	C'était agréable de te revoir.	C'était bien de te revoir.
English: Wow, you're the first teacher who's ever done anything nice for me! = French: Ouah, vous êtes le premier prof à faire quelque chose de gentil pour moi !	Mais ma prof à l'école passait tout son temps à tricoter en classe et n'expliquait jamais rien correctement.	Mais mon prof de l'école passait tout son temps à tricoter en cours et ne nous expliquait jamais rien correctement.
English: Inside the basket that is sitting on top of the fridge = French: Dans le panier qui est au-dessus du réfrigérateur.	Il manque le foie gras.	Le fois gras est manquant.
English: you hired us to do a job = French: Vous nous avez embauchés pour faire un travail.	Oubliez vos enfants, qu'est-ce qu'on fait pour ma réunion avec nos nouveaux clients ?	Ne vous en faites pas pour vos enfants, mais pour ma réunion avec nos nouveaux clients.
English: Flying for the first time is a bit of a special occasion. = French: Prendre l'avion pour la première fois est un peu une grande occasion.	Ah.	Ah.
French: Ils vont brûler. = English: They'll burn.	Pour nous réconforter, c'est ça ?	Comme une consolation, non?
English: The person next to me was sick all over me and you yourself look rather ill. = French: La personne à côté de moi m'a vomi dessus partout et vous n'avez pas l'air bien non plus.	N'oubliez pas, je sais tout ce que cette entreprise a fait ces 10 dernières années: évasion fiscale, ententes sur les prix...	ne l'oubliez pas, je sais tout ce que cette entreprise a fait pendant les 10 dernières années: évasion fiscale, entente sur les prix,...
English: You need to get some ice on it. = French: Tu dois mettre de la glace dessus.	Bonjour.	Bonjour.
English: Why not - all the kids have left now so they won't get in our way! = French: Pourquoi pas, tous les enfants sont partis donc ils ne vont plus nous gêner.	Si on survit, on pourra peut-être manger un curry à Islamabad.	Si on survit, on pourra peut-être aller manger un curry à Islamabad.
English: I'm not convinced a restaurant is a great idea for such a, potentially, large gathering. = French: Je ne suis pas convaincue qu'un restaurant soit une bonne idée pour une groupe potentiellement si grand.	Et toi ?	Et toi?
French: en courant pour attraper le bus, je me suis tordu la cheville = English: Whilst running to catch the bus, I twisted my ankle.	Comme je suis  un vrai ami je peux te dire en face qu'à mon avis ce n'est pas une bonne idée de demander du champagne hors de prix.	Comme je suis votre bon ami, je peux vous dire directement que je ne pense pas que ce soit une bonne idée de demander du champagne cher.
French: Votre réputation ne va pas s'améliorer. = English: Your reputation won't get any better.	Merci.	Merci.
French: C'est quoi l'entrée et le plat du jour, ce soir, chef? = English: What's the starter and today's special this evening, chef?	Grossiers et impolis, ils ne parlent pas français et s'attendent à ce qu'on parle anglais.	Grossière et mal élevée, ne sait pas parler français et nous demande de parler anglais.
French: Tu as l'air en pleine forme! = English: You look very well!	J'ai aussi essayé mon téléphone mais il ne se connecte pas.	J'ai aussi essayé mon téléphone mais ça ne marche pas.
French: Précisons ensemble votre difficulté = English: Let's clarify your difficult together.	Oh oui, il y en a un.	Oui, il y en a.
French: C'est plutôt cool au quotidien, c'est vrai = English: It's quite relaxed day to day, it's true.	Il va peut-être se faire virer !	Peut-être qu'il sera viré!
French: Les murs ne sont pas si épais. = English: The walls aren't very thick.	Je suis sûre que vous dites ça à tout le monde.	Je parie que tu le dis à tout le monde.
French: Oui, très bonne idée d'enchainer sur un plat de viande ! = English: Yes, very good idea to follow up with the meat dish!	Tant pis, est-ce que vous pouvez me donner un peu de votre eau ?	De toute façon, est-ce que vous pouvez me donner un peu de votre eau?
French: Est-ce que ton téléphone en a une ? = English: Does your telephone have one?	Donc si je choisis la politique française, quelle est la meilleure façon de commencer à chercher un sujet ?	Alors si je choisis la politique française, où est-ce que je peux commencer à chercher un sujet?
French: j'ai des principes, je vous l'ai dit = English: I have principles, as I've told you.	Non, je n'ai ni boussole ni carte.	Non, je n'ai pas de compas ni de carte.
English: I'm sorry I didn't mean to press 'send' = French: Je suis désolée, je ne voulais pas appuyer sur « envoyer ».	Pas question d'ESSAYER.	Il n'y a pas d'essai.
French: Allô! = English: Hello!	Dans un joli verre avec une paille colorée si vous en avez !	Dans un verre sympa avec une paille funky si vous en avez une!
French: Mais je n'arrive pas à comprendre quoi = English: But I can't understand what.	Mais peut-être qu'ils seront partants plus tard pour un karaoké.	Mais peut-être qu'ils seront partants pour un peu de karaoké plus tard.
English: gentlemen cats that drink cognac, smoke pipes and blather on about the Great Depression?! = French: Des chats gentleman qui boivent du cognac, fument la pipe et discutent de la grande dépression ?	Et je parle trop.	Et je parle trop.
French: Tu plaisantes ? = English: Are you joking?	Vous prenez souvent l'avion ?	Tu prends souvent l'avion?
French: Pensez à une expérience très simple ! = English: Think of a very simple experiment!	On fait la course jusqu'à l'autre côté !	Je vais te battre à l'autre bout du terrain!
French: Statistiquement, les accidents ont en général lieu au décollage ou à l'atterissage! = English: Statistically, accidents generally happen at take-off or landing!	Aïe.	Merde.
English: You are deluded = French: Tu te fais des films.	J'adore les fêtes !	J'adore les fêtes!
English: I've not heard of that before. = French: J'avais encore jamais entendu ça.	Ensuite mon chef m'a fait venir dans son bureau pour me dire que je n'aurai pas d'augmentation cette année parce que l'entreprise n'allait pas très bien.	Alors mon patron m'a appelé dans son bureau pour me dire que je ne recevrais pas d'augmentation cette année parce que l'entreprise ne se porte pas très bien.
English: Maybe I should look into it = French: Je devrais peut-être y réfléchir.	Un plateau de 30 burgers sans oignons.	30 burger, sans oignons.
English: so let us do it = French: Alors laissez-nous le faire.	Des pâtes ?	Pâtes!
English: What a relief! = French: Quel soulagement !	Tu as pensé à prendre la carte ?	Avez-vous
French: Et puis ça fait partie de la culture générale de toute personne éduquée. = English: And it's part of any educated person's general knowledge.	Les infirmières ont l'air de faire la queue !	Les infirmières semblent être en train de faire la queue!
French: Mais tu sais que j'aime bien cuisiner, donc je peux aussi faire une partie des choses si tu veux. = English: But you know I like to cook, so I can also do some things if you want.	Je pense qu'on aura une réponse plus rapide de notre personnel à la réception.	Je pense que nous obtiendrions une réponse plus rapide de notre personnel de réception
English: I miss playing the piano. = French: Ça me manque, de jouer du piano.	Tu as bien dit que tu aimais les lapins, n'est-ce pas ?	Vous avez dit que vous aimiez les lapins, n'est-ce pas?
French: J'adore faire de la pâtisserie. = English: I love baking.	Pourquoi tu ne prends pas une bouteille toi aussi, comme ça on pourra se saoûler, s'échapper et aller en boîte de nuit.	Pourquoi tu ne ramènes pas une bouteille aussi, alors on peut se saouler, s'échapper et aller dans une boîte de nuit.
English: Or both? = French: Ou les deux ?	Dieu merci !	Merci bien pour ça !
English: Ah yes please! = French: Oh oui s'il te plaît !	J'en ai fait un peu dans le passé.	J'ai joué un peu dans le passé.
English: true. = French: C'est vrai.	Qu'est-ce que c'est que ça, nom de Dieu ?	Qu'est-ce que c'est que ça?
English: Thanks. = French: Merci.	Tu peux faire ça demain.	Vous pouvez le faire demain.
English: Although if you're making a magic potion, I have to say that I would be very interested in trying some. = French: Encore que si vous préparez une potion magique, je dois dire que je serais très intéressée à en goûter.	Elle peut lire un livre sous un parasol et on peut construire des châteaux de sable !	Elle peut lire son livre sous un parasol et nous pouvons construire des châteaux de sable!
English: Oh... who should invite? = French: Ah... j'invite qui ?	C'est la première fois que je prends l'avion et je ne sais pas trop à quoi m'attendre.	C'est ma première fois en avion et je ne sais pas à quoi m'attendre.
English: Good idea - now you are thinking . = French: Bonne idée – maintenant vous réfléchissez.	Si je bois une goutte de plus d'alcool, je risque de vous vomir dessus.	Si j'ai encore de l'alcool, je vais vomir sur vous.
French: Plutôt en cube ou en long ? = English: Into cubes or lengthways.	Je ne suis pas vexée.	Je ne suis pas fâché.
English: What do you mean? = French: Qu'est-ce que tu veux dire ?	Une plainte et le client mange gratuitement.	qu'est-ce que tu veux dire ?
French: Là le gros bouton rouge! = English: There - the big red button!	On en parle demain.	On se parle demain.
English: We could camp here for the night and hope we can find our way in the morning when it's light. = French: On pourrait camper ici cette nuit et espérer qu'on retrouvera le chemin demain matin quand il y aura de la lumière.	Oui, mais que dirais-tu de partir et d'aller profiter du soleil ailleurs ?	oui, mais comment dire, on va aller profiter du soleil ailleurs?
English: It's getting hot in here and we probably have another 15 minutes to wait. = French: Il commence à faire chaud ici et nous avons peut-être encore 15 minutes à attendre.	Vous n'êtes pas dans ma tête !	Tu n'es pas dans ma tête!
English: Nothing is happening = French: Rien ne se passe.	Par quoi commencer...	Où est-ce que je commence?
English: You what? = French: Tu quoi ?	Tu me les montreras après.	Montre-moi plus tard.
French: Mais si vous voulez allez plus loin, par exemple dans la recherche ou l'ingénierie, alors vous aurez besoin de compétences et de diplômes que seules des études supérieures peuvent vous donner. = English: But if you want to go further, for example by going into research or engineering, you'll need skills and degrees that only higher education can give you.	En tout cas, je suis très content de fêtes ça avec toi.	Mais je suis très heureux de fêter avec vous
English: Oh no! = French: Oh non !	Nan.	Non.
French: Les chansons pour enfant ne m'intéresse pas. = English: I'm not interested in children's songs!	Ah, tu dois être déjà en train de dormir...	Oh, tu dois être déjà endormi...
French: Juste en face il y a le cabinet du Dr Jekyll, c'est un excellent diététicien. = English: Just opposite is Dr. Jekyll's surgery. He's an excellent nutritionist.	Mais qu'est-ce que c'est que « la Vache Qui Rit » ?	Qu'est-ce que c'est que "la Vache qui rit?"
English: I thought it was today. = French: Je croyais que c'était aujourd'hui.	Je suis contente d'avoir pu vous aider.	Je suis content de pouvoir vous aider.
English: I don't know about loans. = French: Je ne sais pas pour les prêts.	Que dirais-tu de couper la poire en deux ?	Comment ça va pour un compromis?
English: Not even a trip into town? = French: Pas même une balade en ville ?	Je suis fatigué de toutes ces histoires tragiques que l'on entend à propos de jeunes embarqués dans des querelles entre gangs rivaux.	J'en ai marre de toutes ces histoires tragiques que vous entendez sur des jeunes qui se font prendre dans des disputes entre gangs rivaux.
English: Good night. = French: Bonne nuit.	La secrétaire est malade aujourd'hui...	Le secrétaire est malade aujourd'hui.
French: J'ai des allumettes !! = English: I have matches!!	Je vais aller m'asseoir au bar.	Je vais m'asseoir au bar.
French: Je dois me remettre de mes émotions ! = English: I need to calm down!	Est-ce que vous pouvez commencer à faire le fond de sauce ?	Pourriez-vous aussi commencer à faire la base du jus?
English: I agree we should try to find the cabin. = French: Je suis d'accord, nous devons essayer de trouver la cabane.	Et le corned beef prend plus de cinq heures.	et le bœuf bourguignon prend plus de cinq heures.
French: Non non c'est inutile. = English: No no, it's not worth it.	C'est pas possible que tu t'ennuies.	Tu ne peux pas t'ennuyer.
French: j'ai passé une très mauvaise journée = English: I had a really terrible day.	Oui les cygnes peuvent être assez agressifs.	Oui les cygnes peuvent être assez agressifs.
French: Dommage, on fera sans eux ! = English: That's a shame - we'll go without them then!	Vous voulez quelque chose à manger avec votre café ?	Vous voulez quelque chose à manger avec votre café?
French: Mais je vais me prendre un whisky quand même. = English: But I'm going to have a whisky anyway.	Il y a ce nouvel italien mais je n'ai toujours pas vraiment compris qui allait payer.	Il y a ce nouveau restaurant italien mais je ne suis pas sûr qui paye.
English: What do you think? = French: Qu'est-ce que tu en penses ?	On pourrait se faire agresser.	On risque d'être volés !
