French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: Votre salaire en dépend. = English: Your salary depends on it.	So call for help!	Call the emergency services!
French: J'adore le théâtre. = English: I love the theatre.	Which play are they doing?	What play will be performed?
French: Mais nous commençons un peu plus tard dans la soirée. = English: But we start a little later in the evening.	Probably about 9pm.	Probably around 9pm.
French: Oui, je prends très souvent l'avion. = English: Yes, I fly very often.	Look out the window!	Look out the window!
French: J'ai moi-même étudié un peu la philosophie il y a de nombreuses années. = English: I did a bit of philosophy myself many years ago.	But I was more interested in questions linked to consciousness, ontology and phenomenology.	But I was more interested in questions related to consciousness, ontology, phenomenology.
French: Oui oui, inutile de faire des cartons d'invitation. = English: Yeah, there's no point in doing invitation cards.	Email will do!	A few emails will do!
French: Bien entendu... avez-vous un téléphone ? = English: Of course it is ....do you have a phone?	If you send a message to the secretary she'll let them know.	If you send a message to the secretary she will inform them
French: Je ne sais pas pourquoi ça n'a toujours pas été correctement réparé. = English: i wonder why hasn't it been properly fixed yet.	And yet I pay a fortune for the upkeep of these machines!	i pay a fortune for the maintenance of these machines!
French: Vous les écoutez vous aussi à travers les murs ? = English: Do you listen to them through the walls too?	Oh no, I would be too scared of them noticing me listening to them.	Oh no, I would be too afraid that they would notice that I am listening.
French: Il a l'air de chercher quelqu'un. = English: It seems to be looking for someone.	Probably delicious, but I'd rather just have a coffee and an orange juice.	Probably delicious but I just want a coffee with orange juice.
French: Oui, tenez. = English: Yes, here you go.	And if we're stuck here too long, we can always try to make alcohol out of blackberries.	And if we get stuck here for too long we can always try making some blackberry wine.
French: Parce que j'ai écrit 14 pages, et que j'ai mis beaucoup de citations. = English: Because I wrote 14 pages and I added lots of quotes.	I learnt lots of quotes by heart and I wrote as many as possible in my paper.	I had learned lots of quotes by heart and I put them in my essay as much as I could.
French: Si nous survivons, je déposerai plainte contre la compagnie aérienne. = English: If we survive I'm going to make a complaint to the airline	But you know we have no chance, don't you?	But you know we have no chance, don't you?
French: Est-ce que c'est pour ça que ça a tant de succès ? = English: Is that why it's so popular?	Yes, absolutely!	Yes, that's exactly it!
French: On va pouvoir comparer l'efficacité du pain blanc et celle du pain noir sur ces canards. = English: We'll be able to compare the efficiency of white bread and brown bread on these ducks.	It'll be interesting.	It will be interesting
French: Il est prévu qu'il soit entièrement en lithuanien, je ne comprendrai rien. = English: The whole thing's going to be in Lithuanian. I'm not going to understand anything.	Oh well!	Never mind! ###
French: Je me sens dépassée par tout ce qui se passe en ce moment. = English: I feel overwhelmed by everything happening at the moment.	It's as you wish.	it's up to you.
French: Ou vous pouvez prendre quelque chose de plus consistant. = English: Or you could have something more substantial	I don't have much money on me.	I don't have much money on me
French: On est chez soi là où on vit. = English: Home is where you are.	Yes, you couldn't stay all alone in that house.	Yes, you could not stay alone in that house.
French: Libéré? = English: Free?	Relieved?	Relieved?
French: Je ne connais pas encore par coeur l'emplacement de tous les ingrédients... = English: I don't know by heart where all the ingredients are yet...	And I think it's the first time we've used the Madeira.	And I think it's the first time we use Madeira...
French: Oui, effectivement la logique voudrait que l'on se mette dans la tête que l'avion est le moyen de transport le plus sûr. = English: Yes, logic would indeed have it that we would get it that flying is the safest form of transport.	I'd like to play a card game.	I would like to play a card game.
French: Et désolé d'être tout le temps désolé... = English: And sorry for being sorry all the time.	I'm sorry.	I'm sorry.
French: Et où vais-je trouver un milliard d'euros ? = English: And where am I going to find a billion euros?	My parents won't want to lend me such a sum.	My parents will never lend me such a sum.
French: Mon pauvre ! = English: Poor you!	What happened to you?	What happened to you?
French: Tiens! = English: Look!	It's good, isn't it?	Isn't it good?
French: Surtout pour partager. = English: Especially for sharing.	They're very good with a mojito for example.	It's very good with a mojito for example.
French: Quoi de neuf ? = English: What have you been up to?	How do you spend your days?	How do you spend your days?
French: Si on doit rester ici encore longtemps, vous pouvez travailler. = English: If we have to stay here any longer, you could work.	I only have my book and I've almost finished it.	I have only my book, and I am almost finished with it.
French: Que penseriez-vous de baisser votre salaire pour aider à payer ? = English: Perhaps you could take a pay cut to help pay?	Well, well you're unbelievable, you are!	Oh, you are really amazing!
French: C'est vrai que ma tenue de chantier et mes cheveux courts peuvent en faire douter..... = English: My work clothes and my short hair may give cause for doubt...	But I'm currently working as an engineer on a big worksite and I didn't have the time to go home and get changed or to take a shower after a day on-site...	But I am currently working as an engineer on a large construction site, and I haven't had time to change my clothes or take a shower after a day on the field...
French: au Bella Donna Mia on n'a jamais servi de riz = English: At Bella Donna Mia we've never served rice.	For 5 generations.	for 5 generations.
French: Non pas du tout! = English: No, not at all!	Are you off on holiday?	Are you going on vacation?
French: d'accord. = English: Ok.	And afterwards, I'll be a nicer holiday companion, I promise.	and after, I promise, I'll be a more pleasant travel companion.
French: la journée avait bien commencé = English: The day started well.	Yes, I got to have lunch.	Yes, I was able to have lunch.
French: Mon Dieu, j'espère qu'il n'y aura pas de gens bizarres dans le parc. = English: Good lord, I hope there won’t be any strange people in the park	Speaking about meat and fish, I'm also going to get some things for the vegetarians.	About the meat and fish, I will still take some stuff for the vegetarians too.
French: Vous avez quinze jours avant la date de présentation pour préparer le travail. = English: You have fifteen days to prepare the work before the presentation date.	And on the day of the experiment, ten minutes of experimentation and ten minutes for your oral presentation with slides.	and the day of the experiment, ten minutes of experiment, and ten minutes of oral presentation with slides.
French: C'est correct ? = English: Is that right?	Good.	That's good.
French: Vous avez beaucoup voyagé ! = English: You've travelled a lot!	Which country did you like the most?	Which country did you like the most?
French: Tu aimerais peut-être ça avant de passer du rock. = English: Maybe you would like that before rock music	The first person who comes with bagpipes will be sent directly back to Scotland.	the first one who comes with a bagpipe will be directly sent back to Scotland
French: Prendre l'air, et caetera. = English: Get some fresh air and all that.	Yes, we do spend too much time in front of the TV.	It's true that we spend too much time watching TV.
French: Il n'y a pas d'océan en dessous, seulement le Pakistan. = English: There is no ocean below us, only Pakistan	You know, given where we're falling from, it doesn't make that much of a difference.	You know, from where we are falling, it doesn't make much difference.
French: Oui, je sais que je dois renégocier ce contrat depuis longtemps. = English: Yes, I know I've had to renegotiate the contract for a while.	But my timetable is completely full, you know. I never have time to deal with such practical details.	But you know, my schedule is absolutely full, I never have time to take care of these practical details.
French: Je crois qu'il aurait du participer aux séminaires de rencontres pour jeunes retraités, tant qu'il est encore vert . = English: I think he should have taken part in the meet-ups for young pensioners, while he's still wet behind the ears.	But perhaps you should also sign up to the activities?	But maybe you should too? ###
French: Vraiment? = English: Really?	If you're right, I hope it's nothing serious.	If you are right, I hope it is nothing serious.
French: On pourrait essayer, ma chère! = English: We could try, my dear!	Look, here comes Ania.	Here is Ania.
French: Et avec une mauvaise haleine, impossible pour moi de me montrer en public. = English: And with bad breath, there's no way I'm showing my face in public.	I'll prepare the pepper and take a photo of them.	I'm preparing the peppers and will take a picture of them.
French: Qu'est-ce que tu veux... un cocktail ? = English: What's it to be... cocktail?	Sorry?	Excuse me?
French: Ce. = English: It	is not a reason to set off the alarm.	It is not a reason to not activate the alarm!
French: Mon voisin Roger ne mange que des bols de soupe, c'est vrai. = English: Roger, my neighbour, only eats soup, you're right.	But it's because he doesn't have any teeth left, the poor old man.	But it's because he has no teeth, poor old chap.
French: Tu n'auras même plus de tête ! = English: you won't even have a head!	There'll be no inside at all!!!	there won't be any interior at all!!!
French: Chef, on nous commande deux soles meunières Je prends quel type de beurre ? = English: Chef, we have an order for two sole meunières. What type of butter shall I use?	And what type of vegetables shall we serve with the fish?	And we serve these fish with what vegetables?
French: Non non ne je veux pas y aller seul, c'est absurde. = English: No, no, I don't want to go alone. It's ridiculous.	But yet again, when we want to do different things, we end up doing what you want to do.	But again, when you want to do different things, you end up doing what you want.
French: C'est quand même pas la même chose! = English: It's really not the same thing!	Ah yes, we've finally landed.	Ah yes, we have finally landed.
French:  = English: 	Good evening!	Good evening!
French: Mais je suis bien d'accord avec toi.... = English: But otherwise I agree with you...	I'm not very seductive either with my false teeth and huge glasses.	Me too, with my denture and my huge glasses, I'm not very attractive...
French: Est-ce que vous avez des idées sur la façon de lui en parler ? = English: Do you have any suggestions as to how I talk to him about this?	You could tell him about how you feel, tell him that you're tired and that you need him help, give him a reason to do so.	You could talk to him about your feelings, tell him that you are tired and need his help, give him a reason to do it.
French: Pourquoi faisiez-vous de la crème ? = English: Why were you cooking cream?	I was doing as you asked, chef, but since I was busy making the starter for table 6, I didn't see the time go by and I let the cream burn...	I did as you asked, chef, but as I was also busy making the starter for table 6, I didn't pay attention to the time and I let the cream burn...
French: C'est sur combien de points ? Et quel est le barème pour chaque partie ? = English: How many marks is there and what is the distribution of the marks for each element?	So, the mark is out of thirty points.	The mark is thirty points.
French: Vous voulez dire une planche à partager ? = English: Do you mean a sharing board?	It's a board with specialities for an aperitif between friends.	It's a board with specialties for an aperitif with friends.
French: Alors on est face à un dilemme. = English: Then we have a dilemma.	It's always like that.	It's always like that.
French: Bon, en effet, ce gros bouton rouge me semble prometteur. = English: Yeah, this big red button does look promising.	Are you ok for me to push it?	Are you OK with me pressing it?
French: Une star !! = English: A star!!	Me going to the toilet gives me 2000 likes.	The fact that I go to the toilet brings me 2000 likes.
French: Est-ce que tu peux y aller et trouver le meilleur sorcier pour moins de 1 milliard d'euros ? = English: Could you go for me and find the best sorcerer for less than 1 billion euros?	Are you stupid?	Are you stupid?
French: Je ne veux pas déranger, il a l'air propre et neuf, ça m'inquiète un peu de m'asseoir dessus. = English: I don't want to be any bother. It looks clean and new - I'm a bit worried about sitting on it.	I don't want to ruin it.	I don't want to damage it.
French: Nous sommes dans le parc de la fondation Alan Turing = English: We're in the park of the Alan Turing foundation.	As for me, it's above all the nearest park to my house.	For me, it's mainly the closest park to my home.
French: Je vous écoute. = English: i'm listening	As soon as this ruddy lift is working again, you're going straight to see the head of human resources.	as soon as this damn elevator works again, you will go see the director of human resources.
French: C'est pas trop cruel ? = English: Or is that too cruel?	Oh no, they're too cute...	oh no, they're too cute...
French: Vous êtes de nouveau en retard. Quelle est votre excuse aujourd'hui ? = English: You're late again.What is your excuse today?	I missed my bus today.	I missed my bus today.
French: Mes allumettes sont toutes mouillées, hélas ! = English: My matches are all wet, oh no!	However, I can hear voices nearby and I think I can just make out a torch.	On the other hand, I hear voices nearby and I seem to distinguish a flashlight.
French: Les jeunes vont si vite! = English: Young people are so quick!	Everything must go so fast for them...	Everything must go fast for them...
French: Je dois économiser suffisamment d'argent pour y aller. = English: I need to save up enough money to go there.	Yes, a voyage to South America is quite expensive.	Yes, a trip to South America is quite expensive.
French: Bon en général je sers des acras de morue et des chips de patates douces avec ce cocktail. = English: Well, usually I serve that cocktail with spicy cod fish cakes and sweet potato crisps.	Will that be ok?	Is that okay?
French: On arrive dans 5 minutes. = English: We'll be there in 5 minutes.	You've almost finished your first flight!	You are almost done with your first flight!
French: Par exemple, si les montures sont rondes, c'est peut-être la forme ronde qui énerve les étudiants plutôt que les lunettes elles-mêmes. = English: For example, if the frames are round, then perhaps the round shape is what's annoying the students rather than the glasses themselves.	Maybe it's giving them the impression they're going round in circles?	It may suggest to them that they're going round in circles?
French: Sans encombres. = English: Without a hitch.	Are you still good here?	Are you always well here?
French: un café allongé, ce serait parfait ! = English: An Americano would be perfect!	With a little glass of water on the side.	with a small glass of water next to it, indeed!
French: Je n'ai le numéro de personne qui pourrait nous aider = English: I don't have the number of anyone who could help us.	And what's more, I don't have any reception.	in addition, there is no network.
French: Il y a un conseiller à l'école tous les mardis. = English: There is a school counsellor on site every Tuesday.	That's just it - the counsellor is in on it all!	The counsellor is in on it!
French: Pas des petits pois quand même ! = English: Not peas, did you?	I would never have thought of that.	I never would have thought of that!
French:  = English: 	Hi!	Hello!
French: Alors que racontes-tu de beau ? = English: So is there anything good happening at the moment?	Yes I'm happy.	Yes, I'm happy.
French:  = English: 	It's going to be intense this morning!	This morning it will be intense!
French: Mais je ne pense pas qu'elle partait si loin. = English: but I don't think she was that far away.	Unfortunately our session is over, it's time for my next patient.	Unfortunately our session is over, it's time for my next patient.
French: À condition que tu ne lui donnes rien à manger. = English: As long as you don't try to feed it.	Don't worry!	Don't worry!
French: Il faut bien profiter de la vie! = English: You have to make the most of life!	You could try to convince the dirty lech that Anya doesn't want his money and that you are the only person who really loves him!	You could try to convince the fat pervert that this Anya only wants his money, and that you are the only person who really loves her!
French: Vous pourriez peut-être mettre une feuille de chou sur votre tête. = English: Perhaps you could put a cabbage leaf on top of your head?	Erm, ok, if you want!	Well, okay, if you want!
French: essayons quand même le bouton d'alarme ! = English: Let's try the alarm button anyway!	Perhaps it's been repaired.	Maybe it was repaired.
French: C'est la vie. = English: C'est la vie	Fine.	Very well
French: Je pense qu'on devrait juste déboucher une bonne bouteille de vin rouge et que tu devrais tout simplement oublier le travail. = English: I think we should just open a nice bottle of red wine and you should forget about work	They thought I was pulling a sickie.	they thought I was taking a sick day
French: Depuis combien de temps es-tu apprenti-chef ? = English: now tell me how long have you been an apprentice chef?	It's been 10 years.	it has been ten years
French: Celui-ci peut-être historique (par exemple les événements de mai 68 dont on entend beaucoup parler en ce moment car c'est le cinquantenaire) ou alors les dernières élections présidentielles. = English: It can be historic (for example the events of May 1968, which are being talked about quite a bit at the moment because it's been fifty years) or the last presidential elections.	So the first thing to do is choose.	So the first thing to do is to choose.
French:  = English: 	It's starting to be a while since we stopped moving.	It has been a long time since we have moved
French: Oui, je crois que nous devrions appuyer sur le bouton d'appel d'urgence. = English: Yes, I think we should push the help button.	But I don't think it's working at the moment.	But, I think it doesn't work anymore right now.
French: Tous les professeurs seront disponibles. = English: All the teachers are available.	Start with simple questions.	Start with simple questions.
French:  = English: 	Help!	Help!
French: l'idée est de voir ce qui a été fait, et de comprendre pourquoi l'ascenseur est de nouveau en panne. = English: The idea being to see what's been done and to understand why the lift has broken down again.	I overheard something about a young intern...	I heard about a young intern...
French: Comme il est ami avec le conseiller, il se venge. = English: Since he's friends with the counsellor, he's having his revenge.	However, since he's now aware of his power, he's taking it out on my friends too because they are girls.	However, now that he has realized his power, he's also attacking my friends because they're girls.
French:  = English: 	Hello Lucien. How are you today?	Hello Lucien, how are you today?
French: Oui, pas de problème. = English: Yes, no problem.	I'm going to start with the fennel. It takes the longest.	I will start with the fennel, it takes longer.
French: Eh non j'ai tout vu . = English: Oh no, I saw everything.	Do you know how to navigate by the sun's position?	Could you find your way by the sun?
French: Je sais que vous êtes prof d'anglais, mais monsieur Jameson est un tyran ! = English: I know you're an English teacher, but Mr Jameson is a tyrant!	All he does is put us down and remind us that he is intellectually superior.	He only belittles us and reminds us that he's intellectually superior.
French: C'est vrai... = English: True...	And it could be difficult to achieve!	and it will be very difficult to realize!
French: Le moteur? = English: The engine?	There are several, aren't there?	But there are several, aren't there?
French: Alors, comment s'est passée votre semaine ? = English: So, how has your week been?	I have problems at work. I feel oppressed.	I have problems at work I feel oppressed.
French: Pendant 5 générations ? = English: For 5 generations?	Not only that, pizza too.	not only, but also pizzas
French: J'aime bien la piscine, mais on ne va pas rester là toute l'après-midi! = English: I like the pool, but we're not staying here all afternoon!	Don't you want to go for a little hike?	You don't want to go for a little hike?
French: Mais maintenant que j'y pense, je crois que ce café fait aussi du canard à l'orange. = English: But now I think of it, I think the café also does duck à l'orange.	I don't know if it's good - you should try it!	I don't know if it's good, you should try it!
French: Un massage? = English: A massage?	Did you pay her for it, or does she just like you?	Did you pay her for that, or do you like her?
French: il faut se changer les idées, les vacances sont faites pour ça = English: You need to take your mind of it. Holidays are just the trick for that.	Come on, get up. You're not going to drink lying down.	Get up, you are not going to drink lying down.
French: Vous avez peut-être le temps d'y réfléchir maintenant. = English: Perhaps you have the time to think about it now.	I find that you can work very well here.	I think we work really well here.
French: Votre amie sera sûrement là, pourquoi? = English: Why? I'm sure your friend will be there.	Except if she has a car accident of course!	Unless she has a car accident, of course!
French: Bon tu as ta boussole ? = English: Right, do you have your compass?	We'll have a look at the map.	We will look on the map.
French: Moi je n'ai pas d'apéritif préféré - Je ne bois pas beaucoup, en fait seulement pour les grandes occasions, où j'aime bien prendre un verre de champagne. = English: I don't have a favourite aperitif myself - I don't drink much at all, really only at special occasions where I like a glass of champagne.	Yes a glass of champagne is always, everywhere, an excellent aperitif.	Yes, a glass of champagne is always, everywhere, a very good aperitif.
French: Mon sentiment est que les pilules que vous m'avez données sont trop fortes. = English: My feeling is these pills that you have given me are too strong.	Maybe the pills are strong.	Perhaps the pills are strong.
French:  = English: 	I think this forest path is leading us to a dead end.	I think this forest path leads us into a dead end.
French: Donc vous êtes pescetarien ? = English: So you're a pescatorian?	Ha ha ha - sort of, yes!	Ah ah ah - in a way yes!
French: Et je me suis collé la main à la table en arts plastiques. = English: And I just glued my hand to the desk in Art.	There's a revision course next week.	There is a revision course next week.
French: Je suis vieux, et j'ai mal aux os. = English: I'm old, and all my bones ache	Have you spoken to the retirement home's nurses or doctor about it?	Have you talked to the nurses and the doctor at the retirement home?
French: Connais-tu un endroit où je peux organiser cela, comme un bar ou un club ? = English: Do you know anywhere I could hold it, like a bar or club?	I know several bars that could accommodate 30 people.	I know several bars, which could very well accommodate 30 people
French: Passer de l'enseignement des mathématiques à la danse c'est original ! = English: Going from teaching maths to dance is very original!	But you said you were going away on honeymoon!	But you told me you were on your honeymoon!
French: Si on continue comme ça on va dans le mur, à coup sûr = English: If we carry on like this, we're heading for disaster, for sure.	It's not bad and the work's varied.	It's not bad and varied work!
French: Désolé d'être lent mais je suis sur mon téléphone. = English: Sorry so slow but I m on my phone	Ok, let's do that then!	OK, let's do it!
French: Et vous soutiennent-ils ? = English: And supportive ?	In any case equations are pointless.	equations are useless anyway
French: Je n'y connais rien aux avions, mais je suis terrifié à chaque fois que je prend l'avion. = English: i don't know anything about planes, but I'm terrified whenever I fly.	I'm sorry to bother you like this, but I'm really scared.	I'm sorry to bother you with this, but I'm really scared.
French: s'il n'y avait que ça = English: If only that was it.	Whilst running to catch the bus, I twisted my ankle.	I twisted my ankle running to catch the bus.
French: Tu promets ? = English: Do you promise?	Yes yes I promise.	Yes yes I promise
French: Mais vous pouvez la lui faire, il est habitué. = English: You can too. He's used to it.	He has a good sense of humour!	He's got a good sense of humour!
French: A ton âge vivre dans un univers de manga et de dessins animés et pathétique. = English: Living in a universe of manga and cartoons at your age is pathetic.	I need intellectual and emotional stimulation, not living next to a retarded, pimply geek who only thinks of his video games and mangas.	I need intellectual, emotional stimulation, not to live next to a geek who is a teenager and has pimples and thinks only about his video games and his mangas.
French: Tu me propose un jeu ? = English: Are you suggesting we play a game?	In which, according to where I hit the duck, I gain a variable number of points?	In which, depending on where I touch the duck, I can win more or less points?
French: Certaines personnes préfèrent. = English: Some people prefer that.	Can I really lie down on the sofa?	Can I lie down on this sofa?
French: J'adorerais un peu de thé mais nous ne devrions pas nous arrêter. = English: I would love some tea but we better not stop.	Ok, we'll have some later.	OK, we'll have it later.
French: Très bien, poursuivez. = English: Uh huh... go on.	I can easily move around between the rocks and the seaweed.	I can move easily between rocks and seaweed.
French: Tu peux attraper le signal GPS sur ton téléphone pour qu'on comprenne où on est ? = English: Can you get a GPS signal on your phone to find out where we are?	I don't have any battery left, sadly!	I have no battery left, alas!
French:  = English: 	Oh what's going on now?	What the hell is going on?
French: Sa situation ne le pousse pas à se mettre à votre place, car ils doit passer des journées plutôt relaxantes = English: His situation doesn't make it easy for him to put himself in your shoes, since his days must be quite relaxing.	He clearly counts on you a lot.	he clearly relies on you a lot.
French: Je ne veux pas l'abîmer. = English: I don't want to ruin it.	I think I would feel more comfortable standing up.	I think it would reassure me to stay standing.
French: C'est très varié. = English: It is very varied.	Oh that's good.	Ah very good.
French: Un tas d'acteurs nombrilistes égocentriques. = English: bunch of self-centred navel gazers	The exact term was “atmosphere” not “air”, but it's the same thing; I'm suffocating at your side.	the exact term was Atmosphere, not Air, but it's the same, I suffocate next to you.
French: J'ai été coincée dans un ascenseur pendant quatre heures quand j'étais enfant. = English: I was stuck in a lift for four hours when I was a child	Oh yes, I see.	Yes I understand.
French: Je ne sais pas pourquoi. = English: I don't know why.	Sometimes these things can't be explained...	Sometimes, it doesn't explain itself...
French: Que veux-tu dire par la limite thaï ? = English: What do you mean by the Thai limit?	We could invite our yoga group and the people from choir.	We could invite our yoga group and the choir people...
French: Vous devriez vraiment essayer – vous pouvez choisir la taille des caractères donc c'est bien plus facile de lire pour nos vieux yeux. = English: You should really try it - you can set the font size so it's much easier for our old eyes to read the print.	Well, if you say so, I'll stick at it!	Well, if you say so, I'll hang on!
French: Oui vous voyez, ils sont douze et viennent tous les jours à 14 heures. = English: Yes, there are twelve of them and they come every day at 2pm, you see.	They're real boozers. I suggest you sit a little way away if your meeting is a bit more...romantic.	They are real drunks, I advise you to stay away if your date is a little more... Romantic.
French: Je suis sûr que ça contribuerait à vous redonner de l'énergie et à ce que vous vous sentiez mieux. = English: I'm sure that would help boost your energy levels and help you feel better.	What sport would you like to do?	What sport would you like to do?
French: Peux-tu s'il te plaît juste saisir le bœuf dans une poêle et le mettre doucement à rôtir ?  = English: please could you just sear the beef in a pan and put it on to slow roast	What do you want with that?	what would you like with that?
French: Tu plaisantes ? = English: Are you joking?	We'll walk for an hour and a half and then we won't even have any more time to go back by the pool.	We will walk for 1h30 and then we will not even have time to get back to the pool.
French: C'est important pour que j'analyse votre inquiétude. = English: It's important for me to analyse your anxiety.	If you're not anxious in my practice, that's a good start: it means that you're not scared of talking about yourself.	If you're not anxious in my office, that's a good point: you don't fear talking about yourself.
French: On verra! = English: We'll see!	Thanks for your support anyway.	Thank you for your support, anyway.
French: C'est exactement ces vacances que je voulais. = English: This is just the holiday I wanted.	A pool, sun and nothing else.	A pool, sun and nothing else.
French:  = English: 	You don't look so well!	it doesn't look good!
French: Je déteste les chanteurs! = English: I hate singers.	My ex-husband was a singer.	My ex-husband was a singer.
French: Ils sont bruyants, mais très gentils. = English: They're noisy, but very nice.	They'll help you take your mind off things after your hard day!	They will cheer you up after your hard day!
French: On doit juste faire confiance à l'anesthésiste. = English: You just have to trust the anaesthetist	Yes, definitely.	Yes, that's clear.
French: Plein de gâteaux ! = English: Lots of it!	Do you plan on inviting a lot of people?	Are you going to invite a lot of people?
French: Et j'avais pris des sachets de thé ! = English: And I brought some teabags!	We can make some tea to warm up!	We can make a little tea to warm up!
French: Souviens toi, la dernière fois, elle s'était déclanchée.... = English: Remember the last time, when it got set off...	And the nurses weren't happy because they thought there was a fire in the building...	And the nurses weren't happy because they thought there was a fire in the hospital...
French: Oui, très bonne idée d'enchainer sur un plat de viande ! = English: Yes, very good idea to follow up with the meat dish!	Do you have any ideas?	Do you have any ideas?
French: Il faut absolument que je vous parle. = English: I really need to talk to you.	Can I sit on this chair?	Can I sit on this chair?
French: Mais, attendez! = English: But, wait!	We're going to land in the heart of Pakistan, right in the middle of tribal zones full of terrorists!!!	We are going to land in the middle of Pakistan, in the middle of the tribal areas full of terrorists!!!
French: Je ne prévois pas d'inviter la reine d'Angleterre! = English: I'm not planning on inviting the Queen of England!	Or the new royal couple, haha!	Or the new royal couple, ha ha!
French: On ne risque pas de tomber, puisqu'il n'y a plus vraiment de haut et de bas. = English: You're not in danger of falling, since there isn't really and up and a down.	No, in fact in space it's more like in a submarine.	No, in space, actually, it's more like in a submarine.
French: C'est aussi par l'histoire que l'on comprend ce qu'est la démocratie, la politique, l'identité culturelle de son pays. = English: It's also through history that we can understand democracy, politics and our country's cultural identity.	And aren't you fascinated by ancient civilisations?	And don't you find it fascinating, ancient civilizations?
French: Et il est déjà tard, le soleil commence à baisser. = English: And it's already late - the sun's starting to go down.	We need to hurry!	We must hurry!
French: Bon, je vois que tu ne veux pas tenter l'expérience. = English: Well, I can tell that you don't want to try it out.	No worries. We could take a walk in the park?	That's okay, let's go for a walk in the park?
French: Ma valise est remplie de tout ce qu'elle aime manger et aussi de cosmétiques qu'elle aime. = English: I have my case loaded with all the things she likes to eat and some toiletries she likes too.	She'll be really happy!	She will be really happy!
French: Ça pourrait fabriquer du fois gras, ceci dit. = English: On the other hand, it could make foie gras.	In any case, they seem to like both types just as much!	In any case, they seem to like both types of bread!
French: Vous nous avez embauchés pour faire un travail. = English: you hired us to do a job	Stop immediately!	Stop right now!
French: ils ont cru que je me faisais porter pâle = English: They thought I was pulling a sickie.	And I had to justify myself all day.	and I had to justify myself for the rest of the day.
French: Oui bien sûr, j'ai encore toute ma tête, tu sais! = English: Yes of course - I haven't lost it yet, you know!	But looking after you must take up quite a bit of his time.	But it must take her time to look after you
French: Je me demande pourquoi. = English: i wonder why.	Do you think the work they've done recently next to the other ponds could have led the other ducks to migrate to this pond?	Did the recent work near the other ponds not lead the ducks to migrate to this pond?
French: Allons prendre un thé. = English: Let's go have some tea	Splendid.	Wonderful
French: Oui, c'est sûrement très intéressant, mais ça n'a pas l'air très pertinent par rapport au présent. = English: Yes I suppose it is very interesting, but it does not feel very relevant to the present	Of course it is, since history often repeats itself.	But yes, because history repeats itself often.
French: de plus, il n'y a pas de reseau = English: And what's more, I don't have any reception.	Right, I'm pressing it.	OK, I'll press.
French: Il y a quelque chose qui me préoccupe = English: Something is troubling me.	But I can't understand what.	But I can't understand what.
French: ah oui bien sûr = English: Oh yes of course.	What shall we tell them then?	What will you tell them then?
French: Normalement je ne mange des croissants que pour les grandes occasions. = English: I usually only eat croissant on special occasions.	I'm a chocolatier, and travel all over the world in search of the best chocolate...	I am a chocolatier, and travel the world in search of the best chocolate...
French: Je suis sûr de gagner. = English: I'm sure to win.	Come on, let's go!	Let's go!
French: Mais j'étais plutôt intéressé à des questions liées à la conscience, l'ontologie, la phénoménologie. = English: But I was more interested in questions linked to consciousness, ontology and phenomenology.	But you can't study everything, can you?	But you can't study everything, can you?
French: Par moment = English: Every now and then.	Bu these colour inversions can last for several hours.	But these color inversions can last for several hours.
French: Il y a de l'eau chaude dedans ! = English: There's hot water in it!	And I brought some teabags!	And I had taken tea bags!
French: Bon, je crois que j'ai maintenant tout ce qu'il faut pour régler ce problème! = English: Well, I think I have everything I need to solve the problem now!	Thank you!	Thank you!
French:  = English: 	Hello darling, how did your day go?	Hello my dear, how was your day?
French: Oui, c'est un complot répandu par les entreprises qui produisent des crackers et des biscuits. = English: Yes, that is a conspiracy spread by firms that produce crackers and biscuits.	They want us to feed ducks with crackers and biscuits?	They want us to feed ducks with crackers and biscuits?
French: Génial = English: Great!	Oh, that's a shame.	oh, pity
French: Vous me mettez dans une position difficile. = English: You're putting me in a difficult position.	I'm your psychiatrist.	I'm your psychiatrist.
French: Bon, qu'est-ce que vous proposez de faire ? = English: Anyway what do you suggest we do?	As soon as we get out of this lift, I'm going to get back in contact with them.	as soon as we can get out of the lift, I'll get back in touch with them.
French: Ohlala je ne reconnais pas du tout ce coin. = English: Oh dear, I don't recognise where I am at all.	How about you?	And you?
French: Mon chef n'était pas content. = English: My boss is not happy.	Oh dear, I don't really understand.	Oh, I don't understand.
French: Non, ton fils ! = English: No your son!	No, he asked for more.	no he asked for more
French: Et on pourra cuisiner ensemble le matin! = English: And we could cook together in the morning.	I can't wait!	I can't wait!
French: Avez-vous déjà pris l'avion ? = English: have you ever flown in a plane before?	Yes, I fly very often.	Yes, I take the plane very often.
French: Je fais une dissertation factuelle ou je la fais en prenant un point de vue politique ? = English: Do I present the essay as factual or do I take a political view point?	The viewpoint can be historical or sociological.	The point of view can be historical or sociological.
French: j'ai voulu appeler un taxi = English: I was going to call a taxi.	And when he saw that I was soaked through, he refused to let me get in.	and when he saw that I was soaked, he refused that I got in.
French: Je ne peux pas me permettre de changer de travail en ce moment ou d'être au chômage... = English: I can't afford to change jobs at the moment or be unemployed..	It doesn't sound like it's you who needs changing.	it seems to me that it is not up to you to change..
French: Je dois maintenant vous laisser, car le cours suivant commence dans 1 minute! = English: I have to leave you now, since the next class is starting in 1 minute!	See you next week!	See you next week!
